folder,filename,duration_s,drive_url,abs_path,file_id
"~~~lucas camera syria","P5030967.MOV",2,"https://drive.google.com/file/d/12BBDtupSWe9OKpNmDyt7P2DDg4awNURU/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030967.MOV","0178ddde-fbf1-45ad-ba18-3794c2da5c2d"
"~~~lucas camera syria","P5030972.MOV",181,"https://drive.google.com/file/d/15ydsADKM5VmJQ2M5bmtveFPaonbLdN-X/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030972.MOV","13599c41-30a8-49c7-922c-d3569c6e921c"
"~~~lucas camera syria","P5030973.MOV",13,"https://drive.google.com/file/d/1nkkPjzUBiy_GUhvupL6btPEM1OB1VONP/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030973.MOV","3fd79db6-5c6e-4370-ae38-b677d87e198b"
"~~~lucas camera syria","P5030974.MOV",134,"https://drive.google.com/file/d/1W1x3t6AZ1slgPAAAnQOIiFf_TYYZizzP/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030974.MOV","1f90ede5-7684-436b-b670-4db0e0018464"
"~~~lucas camera syria","P5030977.MOV",13,"https://drive.google.com/file/d/1_NOK18mk9_0oCnohAXsfr5ulz2gJihHN/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030977.MOV","aa72bc7a-1864-4f68-9836-8affb4139c9a"
"~~~lucas camera syria","P5030983.MOV",40,"https://drive.google.com/file/d/1IWxZftYpqGRFQj3yNPOOv-jvSKIGvmBH/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030983.MOV","83627df2-f544-4201-b915-375ff4c67670"
"~~~lucas camera syria","P5030991.MOV",16,"https://drive.google.com/file/d/1-TNBqZ7lRPCl7DFyZG3jD-cCUatNrJHa/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030991.MOV","11ec3b11-adaf-4b2a-ae3d-22d965db6b11"
"~~~lucas camera syria","P5030997.MOV",7,"https://drive.google.com/file/d/1XWDeTDlifKpuk3ZDgMhHXXWTi4reK8VR/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030997.MOV","460e9917-16f5-4464-b645-47d70a06858b"
"~~~lucas camera syria","P5030998.MOV",22,"https://drive.google.com/file/d/1HCZobvYYfwXalgUgDb9CKKyeSaFfHR2T/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030998.MOV","247e5a57-53a3-4879-8c26-38ec54b7f2f5"
"~~~lucas camera syria","P5030999.MOV",17,"https://drive.google.com/file/d/1v2lL4rvp1V6ZMxcqHMCgtL1uPHAGdBCG/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030999.MOV","f2cd45c4-c8f9-4a8e-a9d3-4e80202799ee"
"~~~lucas camera syria","P5031016.MOV",25,"https://drive.google.com/file/d/1teozWSmkZZjnLomFnRPrFh3aXLU5C2zv/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5031016.MOV","a7db46b0-39e9-425d-be31-1d8e7e687803"
"~~~lucas camera syria","P5031017.MOV",14,"https://drive.google.com/file/d/1aucpXkHmcLY6sElEm06qT8nulMeyG6Ye/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5031017.MOV","55a2abf7-4ab0-4f4a-a42d-ab2f1ca4455d"
"~~~lucas camera syria","P5031018.MOV",23,"https://drive.google.com/file/d/1qZUssPkXR7Pa83YVxd5UMHItfXFJJYlD/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5031018.MOV","dd5f8fa7-bbb7-4d62-8775-39fce53924d6"
"~~~lucas camera syria","P5041025.MOV",29,"https://drive.google.com/file/d/1IDdwT91mJGyUPG2OUx4vraRiv3sfA4Y6/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5041025.MOV","369990e4-c21d-4492-8bc8-89348dabf775"
